Company name,ASX code,GICS industry group
ESPORTS MOGUL LIMITED,ESH,Media & Entertainment
ESSENTIAL METALS LIMITED,ESS,Materials
ESTIA HEALTH LIMITED,EHE,Health Care Equipment & Services
ESTRELLA RESOURCES LIMITED,ESR,Materials
ETHERSTACK PLC,ESK,Software & Services
EUMUNDI GROUP LIMITED,EBG,Consumer Services
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate
EURO MANGANESE INC,EMN,Materials
EUROPEAN LITHIUM LIMITED,EUR,Materials
EUROPEAN METALS HOLDINGS LIMITED,EMH,Materials
EUROZ LIMITED,EZL,Diversified Financials
EVE INVESTMENTS LIMITED,EVE,Diversified Financials
EVENT HOSPITALITY AND ENTERTAINMENT LTD,EVT,Media & Entertainment
EVOLUTION MINING LIMITED,EVN,Materials
EVOLVE EDUCATION GROUP LIMITED,EVO,Consumer Services
EVZ LIMITED,EVZ,Capital Goods
EXCELSIOR CAPITAL LTD,ECL,Capital Goods
EXOPHARM LIMITED,EX1,"Pharmaceuticals, Biotechnology & Life Sciences"
EXPERIENCE CO LIMITED,EXP,Consumer Services
EZZ LIFE SCIENCE HOLDINGS LIMITED,EZZ,Retailing
FACTOR THERAPEUTICS LIMITED,FTT,"Pharmaceuticals, Biotechnology & Life Sciences"
FAMILY ZONE CYBER SAFETY LIMITED,FZO,Software & Services
FAR LIMITED,FAR,Energy
FARGO ENTERPRISES LIMITED,FGO,Software & Services
FARM PRIDE FOODS LIMITED,FRM,"Food, Beverage & Tobacco"
FARMAFORCE LIMITED,FFC,Health Care Equipment & Services
FASTER ENTERPRISES LTD,FE8,Real Estate
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC,Not Applic
FAT PROPHETS GLOBAL PROPERTY FUND,FPP,Not Applic
FATFISH GROUP LIMITED,FFG,Diversified Financials
FBR LTD,FBR,Capital Goods
FE INVESTMENTS GROUP LIMITED,FEI,Diversified Financials
FE LIMITED,FEL,Materials
FELIX GROUP HOLDINGS LTD,FLX,Software & Services
FENIX RESOURCES LTD,FEX,Materials
FERTOZ LIMITED,FTZ,Materials
FFI HOLDINGS LIMITED,FFI,"Food, Beverage & Tobacco"
FIDUCIAN GROUP LIMITED,FID,Diversified Financials
FIELD SOLUTIONS HOLDINGS LIMITED,FSG,Telecommunication Services
FIJI KAVA LIMITED,FIJ,Household & Personal Products
FIN RESOURCES LIMITED,FIN,Materials
FINBAR GROUP LIMITED,FRI,Real Estate
FINEOS CORPORATION HOLDINGS PLC,FCL,Software & Services
FINEXIA FINANCIAL GROUP LIMITED,FNX,Diversified Financials
FINTECH CHAIN LIMITED,FTC,Software & Services
FIREBIRD METALS LIMITED,FRB,Materials
FIREFINCH LIMITED,FFX,Materials
FIREFLY RESOURCES LIMITED,FFR,Materials
FIRST ABU DHABI BANK PJSC,FA2,Not Applic
FIRST AU LIMITED,FAU,Materials
FIRST GRAPHENE LIMITED,FGR,Materials
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,FM3,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,FM2,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020,FM5,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 3PP-2019,FM4,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019,FM1,Not Applic
FIRSTWAVE CLOUD TECHNOLOGY LIMITED,FCT,Software & Services
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services
FITZROY RIVER CORPORATION LTD,FZR,Energy
FLAGSHIP INVESTMENTS LIMITED,FSI,Not Applic
FLEETWOOD LIMITED,FWD,Consumer Durables & Apparel
FLETCHER BUILDING LIMITED,FBU,Materials
FLEXI ABS TRUST 2019-2,FA1,Not Applic
FLEXIROAM LIMITED,FRX,Telecommunication Services
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,Consumer Services
FLINDERS MINES LIMITED,FMS,Materials
FLUENCE CORPORATION LIMITED,FLC,Capital Goods
FLYNN GOLD LIMITED,FG1,Materials
FOCUS MINERALS LTD,FML,Materials
FONTERRA SHAREHOLDERS' FUND,FSF,"Food, Beverage & Tobacco"
FORAGER AUSTRALIAN SHARES FUND,FOR,Not Applic
FORBIDDEN FOODS LIMITED,FFF,"Food, Beverage & Tobacco"
FORTESCUE METALS GROUP LTD,FMG,Materials
FOS CAPITAL LTD,FOS,Capital Goods
FREEDOM FOODS GROUP LIMITED,FNP,"Food, Beverage & Tobacco"
FREEDOM OIL AND GAS LTD,FDM,Energy
FREEHILL MINING LIMITED.,FHS,Materials
FREELANCER LIMITED,FLN,Commercial & Professional Services
FRONTIER DIGITAL VENTURES LIMITED,FDV,Media & Entertainment
FRONTIER RESOURCES LIMITED,FNT,Materials
FRUGL GROUP LIMITED,FGL,Software & Services
FSA GROUP LIMITED,FSA,Diversified Financials
FUTURE FIRST TECHNOLOGIES LTD,FFT,Commercial & Professional Services
FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED,FGG,Not Applic
FUTURE GENERATION INVESTMENT COMPANY LIMITED,FGX,Not Applic
FUTURE METALS NL,FME,Energy
FYI RESOURCES LIMITED,FYI,Materials
G.U.D. HOLDINGS LIMITED,GUD,Automobiles & Components
G8 EDUCATION LIMITED,GEM,Consumer Services
GALAN LITHIUM LIMITED,GLN,Materials
GALAXY RESOURCES LIMITED,GXY,Materials
GALE PACIFIC LIMITED,GAP,Consumer Durables & Apparel
GALENA MINING LIMITED,G1A,Materials
GALILEE ENERGY LIMITED,GLL,Energy
GALILEO MINING LTD,GAL,Materials
GARDA PROPERTY GROUP,GDF,Real Estate
GAS2GRID LIMITED,GGX,Energy
GASCOYNE RESOURCES LIMITED,GCY,Materials
GATEWAY MINING LIMITED,GML,Materials
GBM RESOURCES LIMITED,GBZ,Materials
GDI PROPERTY GROUP,GDI,Real Estate
GEFEN INTERNATIONAL A.I. LTD,GFN,Retailing
GENERATION DEVELOPMENT GROUP LIMITED,GDG,Insurance
GENESIS ENERGY LIMITED,GNE,Utilities
GENESIS MINERALS LIMITED,GMD,Materials
GENESIS RESOURCES LIMITED,GES,Materials
GENETIC SIGNATURES LIMITED,GSS,"Pharmaceuticals, Biotechnology & Life Sciences"
GENETIC TECHNOLOGIES LIMITED,GTG,"Pharmaceuticals, Biotechnology & Life Sciences"
GENEX POWER LIMITED,GNX,Utilities
GENMIN LIMITED,GEN,Materials
GENTRACK GROUP LIMITED,GTK,Software & Services
GENUSPLUS GROUP LTD,GNP,Capital Goods
GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,GMA,Banks
GEOPACIFIC RESOURCES LTD,GPR,Materials
GIBB RIVER DIAMONDS LIMITED,GIB,Materials
GLADIATOR RESOURCES LIMITED,GLA,Materials
GLENNON SMALL COMPANIES LIMITED,GC1,Not Applic
GLG CORP LTD,GLE,Consumer Durables & Apparel
GLOBAL DATA CENTRE GROUP,GDC,Not Applic
GLOBAL ENERGY VENTURES LIMITED,GEV,Energy
GLOBAL HEALTH LIMITED,GLH,Health Care Equipment & Services
GLOBAL LITHIUM RESOURCES LIMITED,GL1,Materials
GLOBAL MASTERS FUND LIMITED,GFL,Not Applic
GLOBAL OIL & GAS LIMITED,GLV,Energy
GLOBAL VALUE FUND LIMITED,GVF,Not Applic
GLOBE INTERNATIONAL LIMITED,GLB,Consumer Durables & Apparel
GLOBE METALS & MINING LIMITED,GBE,Materials
GME RESOURCES LIMITED,GME,Materials
GODOLPHIN RESOURCES LIMITED,GRL,Materials
GOLD 50 LIMITED,G50,Materials
GOLD MOUNTAIN LIMITED,GMN,Materials
GOLD ROAD RESOURCES LIMITED,GOR,Materials
GOLDEN CROSS RESOURCES LTD,GCR,Materials
GOLDEN DEEPS LIMITED.,GED,Materials
GOLDEN MILE RESOURCES LTD,G88,Materials
GOLDEN RIM RESOURCES LTD,GMR,Materials
GOLDEN STATE MINING LIMITED,GSM,Materials
GOOD DRINKS AUSTRALIA LTD,GDA,"Food, Beverage & Tobacco"
GOODMAN GROUP,GMG,Real Estate
GOOROO VENTURES LIMITED,GOO,Software & Services
GOWING BROS LIMITED,GOW,Diversified Financials
GPS ALLIANCE HOLDINGS LIMITED,GPS,Real Estate
GPT GROUP,GPT,Real Estate
GR ENGINEERING SERVICES LIMITED,GNG,Materials
GRAINCORP LIMITED,GNC,Food & Staples Retailing
GRAND GULF ENERGY LIMITED,GGE,Energy
GRANGE RESOURCES LIMITED.,GRR,Materials
GRATIFII LIMITED,GTI,Software & Services
GREAT BOULDER RESOURCES LIMITED,GBR,Materials
GREAT NORTHERN MINERALS LIMITED,GNM,Materials
GREAT SOUTHERN MINING LIMITED,GSN,Materials
GREAT WESTERN EXPLORATION LIMITED.,GTE,Materials
GREENLAND MINERALS LIMITED,GGG,Materials
GREENVALE MINING LTD,GRV,Energy
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,Real Estate
GRYPHON CAPITAL INCOME TRUST,GCI,Not Applic
GTI RESOURCES LIMITED,GTR,Materials
GTN LIMITED,GTN,Media & Entertainment
GULF MANGANESE CORPORATION LIMITED,GMC,Materials
GULLEWA LIMITED,GUL,Materials
GWA GROUP LIMITED.,GWA,Capital Goods
GWR GROUP LIMITED,GWR,Materials
HAMMER METALS LIMITED,HMX,Materials
HAMPTON HILL MINING NL,HHM,Materials
HANNANS LTD,HNR,Materials
HANSEN TECHNOLOGIES LIMITED,HSN,Software & Services
HAPPY VALLEY NUTRITION LIMITED,HVM,"Food, Beverage & Tobacco"
HARMONEY CORP LIMITED,HMY,Diversified Financials
HARRIS TECHNOLOGY GROUP LIMITED,HT8,Retailing
HARTSHEAD RESOURCES NL,HHR,Energy
HARVEST TECHNOLOGY GROUP LTD,HTG,Technology Hardware & Equipment
HARVEY NORMAN HOLDINGS LIMITED,HVN,Retailing
HASTINGS TECHNOLOGY METALS LTD,HAS,Materials
HAVILAH RESOURCES LIMITED,HAV,Materials
HAWKSTONE MINING LIMITED,HWK,Materials
HAWTHORN RESOURCES LIMITED,HAW,Materials
HAZER GROUP LIMITED,HZR,Materials
HEALIUS LIMITED,HLS,Health Care Equipment & Services
HEALTH AND PLANT PROTEIN GROUP LIMITED,HPP,"Food, Beverage & Tobacco"
HEALTH HOUSE INTERNATIONAL LIMITED,HHI,Health Care Equipment & Services
HEALTHIA LIMITED,HLA,Health Care Equipment & Services
HEARTLAND GROUP HOLDINGS LIMITED,HGH,Banks
HEARTS AND MINDS INVESTMENTS LIMITED,HM1,Not Applic
HELIOS ENERGY LTD,HE8,Energy
HELIX RESOURCES LIMITED,HLX,Materials
HELLOWORLD TRAVEL LIMITED,HLO,Consumer Services
HERAMED LIMITED,HMD,Health Care Equipment & Services
HERON RESOURCES LIMITED,HRR,Materials
HEXAGON ENERGY MATERIALS LIMITED,HXG,Materials
HEXIMA LIMITED.,HXL,"Pharmaceuticals, Biotechnology & Life Sciences"
HGL LIMITED,HNG,Capital Goods
HHY FUND,HHY,Not Applic
HIGH GRADE METALS LIMITED,HGM,Materials
HIGH PEAK ROYALTIES LIMITED,HPR,Energy
HIGHFIELD RESOURCES LIMITED,HFR,Materials
HILLGROVE RESOURCES LIMITED,HGO,Materials
HILLS LIMITED,HIL,Technology Hardware & Equipment
HIPAGES GROUP HOLDINGS LTD,HPG,Media & Entertainment
HIREMII LIMITED,HMI,Commercial & Professional Services
HITECH GROUP AUSTRALIA LIMITED,HIT,Commercial & Professional Services
HITIQ LIMITED,HIQ,Health Care Equipment & Services
HOLISTA COLLTECH LIMITED,HCT,Household & Personal Products
HOME CONSORTIUM,HMC,Real Estate
HOMECO DAILY NEEDS REIT,HDN,Real Estate
HORIZON GOLD LIMITED,HRN,Materials
HORIZON MINERALS LIMITED,HRZ,Materials
HORIZON OIL LIMITED,HZN,Energy
HORSESHOE METALS LIMITED,HOR,Materials
HOT CHILI LIMITED,HCH,Materials
HOTEL PROPERTY INVESTMENTS,HPI,Real Estate
HOUSTON WE HAVE LIMITED,HWH,Software & Services
HRL HOLDINGS LTD,HRL,Commercial & Professional Services
HSC TECHNOLOGY GROUP LTD,HSC,Software & Services
HT&E LIMITED,HT1,Media & Entertainment
HUB24 LIMITED,HUB,Diversified Financials
HUBIFY LIMITED,HFY,Telecommunication Services
HUDSON INVESTMENT GROUP LIMITED,HGL,Real Estate
HUMM GROUP LIMITED,HUM,Diversified Financials
HUON AQUACULTURE GROUP LIMITED,HUO,"Food, Beverage & Tobacco"
HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,HTA,Telecommunication Services
HYDRIX LIMITED,HYD,Technology Hardware & Equipment
HYDROCARBON DYNAMICS LIMITED,HCD,Energy
HYPERION METALS LIMITED,HYM,Materials
"HYUNDAI CAPITAL SERVICES, INC.",HCS,Not Applic
I SYNERGY GROUP LIMITED,IS3,Software & Services
ICANDY INTERACTIVE LIMITED,ICI,Media & Entertainment
ICAR ASIA LIMITED,ICQ,Media & Entertainment
ICENI GOLD LIMITED,ICL,Materials
ICETANA LIMITED,ICE,Software & Services
ICOLLEGE LIMITED,ICT,Consumer Services
ICON ENERGY LIMITED,ICN,Energy
ICSGLOBAL LIMITED,ICS,Health Care Equipment & Services
IDENTITII LIMITED,ID8,Software & Services
IDP EDUCATION LIMITED,IEL,Consumer Services
IDT AUSTRALIA LIMITED,IDT,"Pharmaceuticals, Biotechnology & Life Sciences"
IGNITE LIMITED,IGN,Commercial & Professional Services
IGO LIMITED,IGO,Materials
IKEGPS GROUP LIMITED,IKE,Technology Hardware & Equipment
IKWEZI MINING LIMITED,IKW,Energy
ILUKA RESOURCES LIMITED,ILU,Materials
IMAGE RESOURCES NL,IMA,Materials
IMAGION BIOSYSTEMS LIMITED,IBX,Health Care Equipment & Services
IMDEX LIMITED,IMD,Materials
IMEXHS LIMITED,IME,Health Care Equipment & Services
IMMURON LIMITED,IMC,"Pharmaceuticals, Biotechnology & Life Sciences"
IMMUTEP LIMITED,IMM,"Pharmaceuticals, Biotechnology & Life Sciences"
IMPACT MINERALS LIMITED,IPT,Materials
IMPEDIMED LIMITED,IPD,Health Care Equipment & Services
IMPELUS LIMITED,IMS,Media & Entertainment
IMPERIAL PACIFIC LIMITED,IPC,Diversified Financials
"IMRICOR MEDICAL SYSTEMS, INC.",IMR,Health Care Equipment & Services
IMUGENE LIMITED,IMU,"Pharmaceuticals, Biotechnology & Life Sciences"
INCA MINERALS LIMITED,ICG,Materials
INCANNEX HEALTHCARE LIMITED,IHL,"Pharmaceuticals, Biotechnology & Life Sciences"
INCENTIAPAY LIMITED,INP,Retailing
INCITEC PIVOT LIMITED,IPL,Materials
INDIANA RESOURCES LIMITED,IDA,Materials
INDOOR SKYDIVE AUSTRALIA GROUP LIMITED,IDZ,Consumer Services
INDUSTRIAL MINERALS LTD,IND,Materials
INFINITY LITHIUM CORPORATION LIMITED,INF,Materials
INFOMEDIA LTD,IFM,Software & Services
INFRATIL LIMITED.,IFT,Utilities
INGENIA COMMUNITIES GROUP,INA,Real Estate
INGHAMS GROUP LIMITED,ING,"Food, Beverage & Tobacco"
INSURANCE AUSTRALIA GROUP LIMITED,IAG,Insurance
INTEGA GROUP LIMITED,ITG,Capital Goods
INTEGRAL DIAGNOSTICS LIMITED,IDX,Health Care Equipment & Services
INTEGRATED GREEN ENERGY SOLUTIONS LTD,IGE,Commercial & Professional Services
INTEGRATED PAYMENT TECHNOLOGIES LIMITED,IP1,Software & Services
INTEGRATED RESEARCH LIMITED,IRI,Software & Services
INTELICARE HOLDINGS LIMITED,ICR,Health Care Equipment & Services
INTELLIHR LIMITED,IHR,Software & Services
INTERNATIONAL EQUITIES CORPORATION LIMITED.,IEQ,Real Estate
INTERNATIONAL FINANCE CORPORATION,IFX,Not Applic
INTERSTAR MILLENNIUM SERIES 2002-1G TRUST,IMG,Not Applic
INTERSTAR MILLENNIUM SERIES 2003-3G TRUST,IMX,Not Applic
INTERSTAR MILLENNIUM SERIES 2004-1E TRUST,IMQ,Not Applic
INTERSTAR MILLENNIUM SERIES 2004-2G TRUST,IMK,Not Applic
INTERSTAR MILLENNIUM SERIES 2004-5 TRUST,IMN,Not Applic
INTERSTAR MILLENNIUM SERIES 2005-2L TRUST,IMO,Not Applic
INTERSTAR MILLENNIUM SERIES 2006-2G TRUST,INB,Not Applic
INTERSTAR MILLENNIUM SERIES 2006-3L TRUST,INN,Not Applic
INTERSTAR MILLENNIUM SERIES 2006-4H TRUST,INH,Not Applic
INTRA ENERGY CORPORATION LIMITED,IEC,Energy
INVENTIS LIMITED,IVT,Commercial & Professional Services
INVESTIGATOR RESOURCES LTD,IVR,Materials
INVESTSMART GROUP LIMITED,INV,Diversified Financials
INVEX THERAPEUTICS LTD,IXC,"Pharmaceuticals, Biotechnology & Life Sciences"
INVICTUS ENERGY LTD,IVZ,Energy
INVIGOR GROUP LIMITED,IVO,Media & Entertainment
INVION LIMITED,IVX,"Pharmaceuticals, Biotechnology & Life Sciences"
INVOCARE LIMITED,IVC,Consumer Services
IODM LIMITED,IOD,Software & Services
IONEER LTD,INR,Materials
IONIC RARE EARTHS LIMITED,IXR,Materials
IOOF HOLDINGS LIMITED,IFL,Diversified Financials
IOUPAY LIMITED,IOU,Media & Entertainment
IPB PETROLEUM LIMITED,IPB,Energy
IPH LIMITED,IPH,Commercial & Professional Services
IQ3CORP LIMITED,IQ3,Diversified Financials
IRESS LIMITED,IRE,Software & Services
IRON ROAD LIMITED,IRD,Materials
IRONBARK CAPITAL LIMITED,IBC,Not Applic
IRONBARK ZINC LTD,IBG,Materials
IRONGATE GROUP,IAP,Real Estate
ISELECT LIMITED.,ISU,Consumer Services
ISENTIA GROUP LIMITED,ISD,Software & Services
ISIGNTHIS LTD,ISX,Software & Services
ISLAND PHARMACEUTICALS LIMITED,ILA,"Pharmaceuticals, Biotechnology & Life Sciences"
IVE GROUP LIMITED,IGL,Media & Entertainment
IXUP LIMITED,IXU,Software & Services
JADAR RESOURCES LIMITED,JDR,Materials
JAMES HARDIE INDUSTRIES PLC,JHX,Materials
JAMESON RESOURCES LIMITED,JAL,Materials
JANISON EDUCATION GROUP LIMITED,JAN,Software & Services
JANUS HENDERSON GROUP PLC,JHG,Diversified Financials
JAPARA HEALTHCARE LIMITED,JHC,Health Care Equipment & Services
JATCORP LIMITED,JAT,Retailing
JAXSTA LTD,JXT,Software & Services
JAYEX TECHNOLOGY LIMITED,JTL,Health Care Equipment & Services
JAYRIDE GROUP LIMITED,JAY,Retailing
JB HI-FI LIMITED,JBH,Retailing
JCURVE SOLUTIONS LTD,JCS,Software & Services
JERVOIS MINING LIMITED,JRV,Materials
JINDALEE RESOURCES LIMITED,JRL,Materials
JOHNS LYNG GROUP LIMITED,JLG,Capital Goods
JOYCE CORPORATION LTD,JYC,Retailing
JUMBO INTERACTIVE LIMITED,JIN,Consumer Services
JUNO MINERALS LIMITED,JNO,Materials
JUPITER ENERGY LIMITED,JPR,Energy
JUPITER MINES LIMITED.,JMS,Materials
K & S CORPORATION LIMITED,KSC,Transportation
K-TIG LIMITED,KTG,Capital Goods
K2 ASSET MANAGEMENT HOLDINGS LTD,KAM,Diversified Financials
K2FLY LIMITED,K2F,Software & Services
KAILI RESOURCES LIMITED,KLR,Energy
KAIROS MINERALS LIMITED,KAI,Materials
KAISER REEF LIMITED,KAU,Materials
KALAMAZOO RESOURCES LIMITED,KZR,Materials
KALINA POWER LIMITED,KPO,Utilities
KALIUM LAKES LIMITED,KLL,Materials
KALNORTH GOLD MINES LIMITED,KGM,Materials
KANGAROO ISLAND PLANTATION TIMBERS LTD,KPT,Materials
KAROON ENERGY LTD,KAR,Energy
KATANA CAPITAL LIMITED,KAT,Not Applic
KATHMANDU HOLDINGS LIMITED,KMD,Retailing
KAZIA THERAPEUTICS LIMITED,KZA,"Pharmaceuticals, Biotechnology & Life Sciences"
KELLY PARTNERS GROUP HOLDINGS LIMITED,KPG,Commercial & Professional Services
KEY PETROLEUM LIMITED,KEY,Energy
KEYBRIDGE CAPITAL LIMITED,KBC,Diversified Financials
KEYPATH EDUCATION INTERNATIONAL INC.,KED,Consumer Services
KEYTONE DAIRY CORPORATION LIMITED,KTD,"Food, Beverage & Tobacco"
KFW,KFW,Not Applic
KGL RESOURCES LIMITED,KGL,Materials
KIN MINING NL,KIN,Materials
KINA SECURITIES LIMITED,KSL,Banks
KINCORA COPPER LIMITED,KCC,Materials
KINETIKO ENERGY LTD,KKO,Energy
KING ISLAND SCHEELITE LIMITED,KIS,Materials
KING RIVER RESOURCES LIMITED,KRR,Materials
KINGFISHER MINING LTD,KFM,Materials
KINGFISHER TRUST 2016-1,KIG,Not Applic
KINGFISHER TRUST 2019-1,KI1,Not Applic
KINGSGATE CONSOLIDATED LIMITED.,KCN,Materials
KINGSLAND GLOBAL LTD,KLO,Real Estate
KINGSROSE MINING LIMITED,KRM,Materials
KINGSTON RESOURCES LIMITED,KSN,Materials
KINGWEST RESOURCES LIMITED,KWR,Materials
KIP MCGRATH EDUCATION CENTRES LIMITED,KME,Consumer Services
KIRKLAND LAKE GOLD LTD,KLA,Materials
KKR CREDIT INCOME FUND,KKC,Not Applic
KLEOS SPACE S.A,KSS,Commercial & Professional Services
KNEOMEDIA LIMITED,KNM,Media & Entertainment
KNOSYS LIMITED,KNO,Software & Services
KOGAN.COM LTD,KGN,Retailing
KOGI IRON LIMITED,KFE,Materials
KOLLAKORN CORPORATION LIMITED,KKL,Technology Hardware & Equipment
KOON HOLDINGS LIMITED,KNH,Capital Goods
KOPORE METALS LIMITED,KMT,Materials
KORAB RESOURCES LIMITED,KOR,Materials
KORE POTASH PLC,KP2,Materials
KOREA EXPRESSWAY CORPORATION,KA1,Not Applic
KORVEST LTD,KOV,Capital Goods
KRAKATOA RESOURCES LIMITED,KTA,Materials
KULA GOLD LIMITED,KGD,Materials
KUNIKO LIMITED,KNI,Materials
KYCKR LIMITED,KYK,Software & Services
L1 LONG SHORT FUND LIMITED,LSF,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2018-1,LTF,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2018-2,LT1,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2019-1,LT3,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2019-2,LT4,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2020-1,LT5,Not Applic
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2020-S1,LT6,Not Applic
LACHLAN STAR LIMITED,LSA,Materials
LAKE RESOURCES N.L.,LKE,Materials
LAKES BLUE ENERGY NL,LKO,Energy
LAND & HOMES GROUP LIMITED,LHM,Real Estate
LANEWAY RESOURCES LTD,LNY,Materials
LARAMIDE RESOURCES LTD,LAM,Energy
LARK DISTILLING CO. LTD,LRK,"Food, Beverage & Tobacco"
LASERBOND LIMITED,LBL,Capital Goods
LATIN RESOURCES LIMITED,LRS,Materials
LATITUDE AUSTRALIA CREDIT CARD LOAN NOTE TRUST,LCN,Not Applic
LATITUDE AUSTRALIA PERSONAL LOANS SERIES 2017-1 TRUST,LC1,Not Applic
LATITUDE AUSTRALIA PERSONAL LOANS SERIES 2020-1 TRUST,LC2,Not Applic
LATITUDE CONSOLIDATED LIMITED,LCD,Materials
LATITUDE GROUP HOLDINGS LIMITED,LFS,Diversified Financials
LATROBE MAGNESIUM LIMITED,LMG,Materials
LAWFINANCE LIMITED,LAW,Diversified Financials
LAYBUY GROUP HOLDINGS LIMITED,LBY,Software & Services
LBT INNOVATIONS LIMITED,LBT,Health Care Equipment & Services
LEAF RESOURCES LTD,LER,Materials
LEFROY EXPLORATION LIMITED,LEX,Materials
LEGACY IRON ORE LIMITED,LCY,Materials
LEGEND MINING LIMITED,LEG,Materials
LEIGH CREEK ENERGY LIMITED,LCK,Energy
LENDLEASE GROUP,LLC,Real Estate
LEPIDICO LTD,LPD,Materials
LIBERTY FINANCIAL GROUP,LFG,Banks
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2017-3,LI4,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2017-4,LI1,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2018-1,LI2,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF LIBERTY SERIES 2019-2,LI6,Not Applic
LIBERTY FUNDING PTY LTD IN RESPECT OF THE LIBERTY SERIES 201,LI5,Not Applic
LIBERTY SERIES 2020-2,LI7,Not Applic
LIFE360 INC.,360,Software & Services
LIFESPOT HEALTH LTD,LSH,Health Care Equipment & Services
LIFESTYLE COMMUNITIES LIMITED,LIC,Real Estate
"LIMEADE, INC.",LME,Software & Services
LINCOLN MINERALS LIMITED,LML,Materials
LINDIAN RESOURCES LIMITED,LIN,Materials
LINDSAY AUSTRALIA LIMITED,LAU,Transportation
LINIUS TECHNOLOGIES LIMITED,LNU,Software & Services
LINK ADMINISTRATION HOLDINGS LIMITED,LNK,Software & Services
LION ENERGY LIMITED,LIO,Energy
LION ONE METALS LIMITED,LLO,Materials
LION SELECTION GROUP LIMITED.,LSX,Not Applic
LION SERIES 2020-1 TRUST,LI8,Not Applic
LIONTOWN RESOURCES LIMITED,LTR,Materials
LITHIUM AUSTRALIA NL,LIT,Materials
LITHIUM ENERGY LIMITED,LEL,Materials
LITHIUM POWER INTERNATIONAL LIMITED,LPI,Materials
LITTLE GREEN PHARMA LTD,LGP,"Pharmaceuticals, Biotechnology & Life Sciences"
LIVE VERDURE LTD,LV1,"Food, Beverage & Tobacco"
LIVEHIRE LIMITED,LVH,Software & Services
LIVETILES LIMITED,LVT,Software & Services
LIVING CELL TECHNOLOGIES LIMITED,LCT,"Pharmaceuticals, Biotechnology & Life Sciences"
LLOYDS BANK PLC,LLP,Not Applic
LLOYDS BANKING GROUP PLC,LO1,Not Applic
LOCALITY PLANNING ENERGY HOLDINGS LIMITED,LPE,Utilities
LOCKSLEY RESOURCES LIMITED,LKY,Materials
LODE RESOURCES LTD,LDR,Materials
LODESTAR MINERALS LIMITED,LSR,Materials
LONDON CITY EQUITIES LIMITED,LCE,Diversified Financials
LOS CERROS LIMITED,LCL,Materials
LOTUS RESOURCES LIMITED,LOT,Materials
LOVE GROUP GLOBAL LTD,LVE,Software & Services
LOVISA HOLDINGS LIMITED,LOV,Retailing
LOWELL RESOURCES FUND,LRT,Not Applic
LUCAPA DIAMOND COMPANY LIMITED,LOM,Materials
LUMOS DIAGNOSTICS HOLDINGS LIMITED,LDX,Health Care Equipment & Services
LUNNON METALS LIMITED,LM8,Materials
LYCOPODIUM LIMITED,LYL,Capital Goods
LYNAS RARE EARTHS LIMITED,LYC,Materials
LYNCH GROUP HOLDINGS LIMITED,LGL,"Food, Beverage & Tobacco"
M3 MINING LIMITED,M3M,Materials
M8 SUSTAINABLE LIMITED,M8S,Commercial & Professional Services
MA FINANCIAL GROUP LIMITED,MAF,Diversified Financials
MAAS GROUP HOLDINGS LIMITED,MGH,Capital Goods
MACA LIMITED,MLD,Materials
MACARTHUR MINERALS LIMITED,MIO,Materials
MACH7 TECHNOLOGIES LIMITED,M7T,Health Care Equipment & Services
MACMAHON HOLDINGS LIMITED,MAH,Materials
MACQUARIE BANK LIMITED,MBL,Not Applic
MACQUARIE GROUP LIMITED,MQG,Diversified Financials
MACQUARIE TELECOM GROUP LIMITED,MAQ,Telecommunication Services
MAD PAWS HOLDINGS LIMITED,MPA,Retailing
MADER GROUP LIMITED,MAD,Commercial & Professional Services
MAGELLAN FINANCIAL GROUP LIMITED,MFG,Diversified Financials
MAGELLAN GLOBAL FUND.,MGF,Class Pend
